Name,Rtg,Pos,Club,League,Nationality,DIV,HAN,KIC,REF,SPE,POS,WF,Skill
Colin McCabe,55,GK,Shelbourne FC,SSE Airtricity Lge,IRL,57,54,55,56,26,55,3,1
Cameron Gregory,55,GK,Shrewsbury,EFL League One,ENG,56,52,55,57,40,55,3,1
Bradley Wade,55,GK,Rochdale,EFL League One,ENG,56,60,57,53,31,54,2,1
Oliver Ottesen,55,GK,FC Midtjylland,3F Superliga,DEN,55,54,58,59,29,56,2,1
Joachim Imbrechts,55,GK,Sporting Charleroi,1A Pro League,SWE,60,54,55,59,26,48,2,1
Julius Lindgren,55,GK,IFK Norrköping,Allsvenskan,SWE,60,55,53,52,26,49,2,1
Ryan Sandford,55,GK,Millwall,EFL Championship,ENG,57,56,55,56,35,55,2,1
Connor Sparrow,55,GK,Chicago Fire Soccer Club,MLS,USA,58,54,59,52,33,57,2,1
Novem Baumann,55,GK,FC Zürich,RSL,SUI,60,51,53,54,48,52,3,1
Lee Joon Hee,55,GK,Daegu FC,K League 1,KOR,59,48,51,60,46,51,3,1
Nathan Gartside,55,GK,Derry City,SSE Airtricity Lge,NIR,57,51,51,57,46,51,2,1
Choe Pil Soo,55,GK,Busan IPark,K League 1,KOR,55,55,55,53,44,50,3,1
Abdullah Al Shammari,55,GK,Abha Club,MBS Pro League,SAR,56,52,52,55,45,53,3,1
Sun Shoubo,55,GK,Wuhan Zall Professional FC,CSL,CPR,52,52,57,52,47,63,2,1
Jake Turner,54,GK,Newcastle United,Premier League,ENG,56,57,52,56,22,54,3,1
Noel Törnqvist,54,GK,Mjällby AIF,Allsvenskan,SWE,56,54,60,53,46,52,2,1
Jonas Brendieck,54,GK,MSV Duisburg,3. Liga,GER,57,55,49,56,20,52,2,1
Nick Suman,54,GK,Macarthur FC,A-League,AUS,57,57,54,54,21,55,3,1
Jake Turner,54,GK,Morecambe,EFL League Two,ENG,56,57,52,56,22,54,3,1
Michael Wagner,54,GK,Türkgücü,3. Liga,GER,55,56,53,59,22,52,2,1
Tim Schreiber,54,GK,Hallescher FC,3. Liga,GER,52,59,50,55,23,51,2,1
Luke McNicholas,54,GK,Finn Harps,SSE Airtricity Lge,IRL,55,56,51,56,28,55,2,1
Noah James,54,GK,Western Sydney Wanderers,A-League,AUS,57,54,51,57,26,51,3,1
Matthew Sutton,54,GK,Melbourne City,A-League,AUS,55,53,51,53,22,54,2,1
César Ramos,54,GK,Rayados de Monterrey,LIGA BBVA MX,MEX,54,56,55,59,19,52,3,1
John Pulskamp,54,GK,Sporting Kansas City,MLS,USA,59,51,48,58,25,52,1,1
Daiki Mitsui,54,GK,Nagoya Grampus,Meiji Yasuda J1,JAP,59,54,49,58,23,42,3,1
Eric Lopez,54,GK,LA Galaxy,MLS,USA,57,51,53,59,26,49,2,1
Seo Ju Hwan,54,GK,Ulsan Hyundai Horang-i,K League 1,KOR,52,54,57,56,25,54,3,1
Tom Collins,54,GK,Scunthorpe United,EFL League Two,ENG,57,56,48,52,28,55,1,1
Tim Schreiber,54,GK,RB Leipzig,Bundesliga,GER,52,59,50,55,23,51,2,1
Dominique Youfeigane,54,GK,En Avant Guingamp,Ligue 2 BKT,FRA,54,54,47,56,18,54,2,1
Jakob Odehnal,54,GK,SC Rheindorf Altach,Ö. Bundesliga,AT,56,53,56,56,31,50,3,1
Kevin Ibrahim,54,GK,1. FC Heidenheim 1846,Bundesliga 2,GER,57,49,51,60,27,52,3,1
Michael Wagner,54,GK,FC Bayern München II,3. Liga,GER,55,56,53,59,22,52,2,1
Hüseyin Altıntaş,54,GK,Denizlispor,Süper Lig,TUR,55,48,56,56,29,52,2,1
Rasmus Sandberg,54,GK,Rosenborg BK,Eliteserien,NOR,58,58,55,55,26,53,2,1
Leon Pöhls,54,GK,Shamrock Rovers,SSE Airtricity Lge,GER,56,57,56,56,34,50,2,1
David Ochoa,54,GK,Real Salt Lake,MLS,USA,56,52,53,55,27,53,2,1
Joaquín Hass,54,GK,Colón de Santa Fe,Primera División,ARG,56,57,51,55,23,50,2,1
Dayne St. Clair,54,GK,Minnesota United FC,MLS,CAN,56,52,51,58,27,52,3,1
Luke McNicholas,54,GK,Sligo Rovers,SSE Airtricity Lge,IRL,55,56,51,56,28,55,2,1
Lucio Soldini,54,GK,FC Lugano,RSL,SUI,56,58,58,55,33,49,2,1
Hans Christian Bernat,54,GK,Odense Boldklub,3F Superliga,DEN,57,52,57,55,32,52,3,1
Noah James,54,GK,Newcastle Jets,A-League,AUS,57,54,51,57,26,51,3,1
Laurenz Beckemeyer,54,GK,VfL Osnabrück,Bundesliga 2,GER,57,55,51,56,34,50,3,1
Tom Kretzschmar,54,GK,TSV 1860 München,3. Liga,GER,52,57,51,60,42,49,3,1
Saleh Al Wehimid,54,GK,Al Nassr,MBS Pro League,SAR,56,53,49,54,36,53,2,1
Jesper Granlund,54,GK,Sandefjord Fotball,Eliteserien,NOR,54,56,51,57,21,48,3,1
Hamad Hawsawi,54,GK,Al Fayha,MBS Pro League,SAR,55,51,52,56,37,53,3,1
Gion Fadri Chande,54,GK,FC Vaduz,RSL,SUI,57,52,52,57,26,53,2,1
Liu Shibo,54,GK,Guangzhou Evergrande Taobao FC,CSL,CPR,52,56,51,57,34,48,2,1
Joe Cracknell,54,GK,Harrogate Town,EFL League Two,ENG,54,53,52,55,45,53,3,1
Joe Walsh,53,GK,Queens Park Rangers,EFL Championship,ENG,57,54,61,58,58,47,5,1
Tristan Prendergast,53,GK,Western Sydney Wanderers,A-League,AUS,56,56,49,50,23,52,1,1
Elliot Panicco,53,GK,Nashville SC,MLS,USA,56,52,52,60,29,53,3,1
Joe Walsh,53,GK,Gillingham,EFL League One,ENG,57,54,61,58,58,47,5,1
Jake McGuire,53,GK,Örebro SK,Allsvenskan,USA,49,52,69,54,34,51,2,1
Demba Thiam,53,GK,SPAL,Calcio B,SEN,53,52,62,51,55,61,1,1
Henrich Ravas,53,GK,Derby County,EFL Championship,SVK,55,52,52,56,37,51,2,1
Gustavo Galindo,53,GK,Tigres de la UANL,LIGA BBVA MX,MEX,54,51,50,53,19,54,2,1
Dariusz Krzysztofek,53,GK,Pogoń Szczecin,PKO Ekstraklasa,POL,55,52,49,54,22,55,2,1
Fredrik Repstad Hansen,53,GK,IK Start,Eliteserien,NOR,55,56,45,57,27,47,2,1
Bobby Jones,53,GK,Wigan Athletic,EFL League One,IRL,55,53,52,54,23,51,2,1
Gustavo Gutiérrez,53,GK,Deportivo Toluca,LIGA BBVA MX,MEX,57,50,47,57,50,50,3,1
Ricardo Rodríguez,53,GK,Mazatlán Fútbol Club,LIGA BBVA MX,MEX,52,55,49,54,24,53,3,1
Cătălin Căpățănă,53,GK,Sepsi OSK Sf. Gheorghe,Liga I,ROM,53,57,56,51,38,53,2,1
Oliver Dovin,53,GK,Hammarby IF,Allsvenskan,SWE,62,54,48,53,25,52,2,1
Kwon Jae Beom,53,GK,Gangwon FC,K League 1,KOR,51,52,46,60,23,55,3,1
Marcus Andersen,53,GK,FK Bodø/Glimt,Eliteserien,NOR,55,51,54,55,20,51,3,1
Bartosz Neugebauer,53,GK,Górnik Zabrze,PKO Ekstraklasa,POL,49,56,52,55,35,52,2,1
Benedikt Willert,53,GK,1. FC Nürnberg,Bundesliga 2,GER,52,49,59,59,22,46,3,1
Marius Ulla,53,GK,Stabæk Fotball,Eliteserien,NOR,55,54,50,53,30,53,2,1
Nico Strübi,53,GK,FC St. Gallen 1879,RSL,SUI,54,51,56,52,27,55,3,1
Arthur Lyska,53,GK,SV Wehen Wiesbaden,3. Liga,GER,56,54,53,55,40,49,3,1
Timothy Fayulu,53,GK,FC Sion,RSL,DRC,55,59,50,52,19,47,3,1
Josh Gould,53,GK,Swansea City,EFL Championship,WAL,46,58,59,56,21,52,2,1
Paul Grave,53,GK,VfL Bochum 1848,Bundesliga 2,GER,51,54,50,59,22,52,2,1
Jozef Pukaj,53,GK,FC Basel 1893,RSL,SUI,57,56,54,52,20,53,3,1
Kamil Broda,53,GK,Wisła Kraków,PKO Ekstraklasa,POL,59,51,53,58,24,45,2,1
Rakan Al Najjar,53,GK,Al Ittihad,MBS Pro League,SAR,54,55,50,55,31,48,3,1
Daniel Andersen,53,GK,Aarhus AGF,3F Superliga,DEN,55,51,54,56,33,54,3,1
Solomon Brynn,53,GK,Middlesbrough,EFL Championship,ENG,48,55,58,57,31,50,2,1
Chen Wei,53,GK,Shanghai SIPG FC,CSL,CPR,52,52,51,52,29,52,3,1
Bradley James,53,GK,Middlesbrough,EFL Championship,ENG,51,53,49,55,28,52,3,1
Moataz Al Baqawi,53,GK,Al Taawoun,MBS Pro League,SAR,55,51,49,58,29,48,2,1
Curtis Lyle,53,GK,Kilmarnock,Scottish Prem,SCO,54,53,55,51,27,50,2,1
Adam Kelsey,53,GK,Scunthorpe United,EFL League Two,ENG,54,52,51,51,27,52,2,1
Hwang In Jae,53,GK,Pohang Steelers,K League 1,KOR,54,55,56,49,26,49,3,1
Kyle Gourlay,53,GK,Hamilton Academical FC,Scottish Prem,SCO,53,49,57,53,44,53,3,1
Xu Jiamin,53,GK,Dalian Professional Football Club,CSL,CPR,56,52,49,54,36,49,3,1
Mohammad Al Burayh,53,GK,Al Fateh,MBS Pro League,SAR,54,47,44,54,43,52,2,1
Xing Yu,52,GK,Qingdao Huanghai FC,CSL,CPR,57,46,49,59,22,48,1,1
Michael Nelson,52,GK,Houston Dynamo,MLS,USA,48,55,54,55,26,50,3,1
Greg Ranjitsingh,52,GK,Philadelphia Union,MLS,TRI,53,52,50,60,21,46,1,1
Zaid Al Bawardi,52,GK,Al Shabab,MBS Pro League,SAR,49,50,45,53,27,57,2,1
Kacper Trelowski,52,GK,Raków Częstochowa,PKO Ekstraklasa,POL,54,52,54,56,30,52,2,1
Axel Torres,52,GK,Club Atlético de San Luis,LIGA BBVA MX,MEX,53,49,58,53,15,48,3,1
Federico Del Frate,52,GK,AC Monza,Calcio B,ITA,56,57,51,47,24,47,2,1
Karabo Molefe,52,GK,Kaizer Chiefs,South African FL,SAF,58,48,46,61,40,38,3,1
Simen Vidtun Nilsen,52,GK,Sarpsborg 08,Eliteserien,NOR,53,55,47,54,27,51,2,1
Teddy Bartouche,52,GK,FC Lorient,Ligue 1 Uber Eats,FRA,58,49,49,57,27,47,2,1
Ross Munro,52,GK,Ross County FC,Scottish Prem,SCO,53,56,52,52,30,51,2,1
Krzysztof Bąkowski,52,GK,Lech Poznań,PKO Ekstraklasa,POL,53,52,50,51,33,54,3,1
Furkan Beklevic,52,GK,MKE Ankaragücü,Süper Lig,TUR,56,47,49,54,30,48,2,1
Yiğit Kafkasyali,52,GK,MKE Ankaragücü,Süper Lig,TUR,55,57,53,48,33,51,2,1
Meshari Sanyor,52,GK,Al Raed,MBS Pro League,SAR,51,50,50,53,30,51,3,1
Frank Stople,52,GK,FK Haugesund,Eliteserien,NOR,52,53,51,55,28,50,2,1
Greg Ranjitsingh,52,GK,Minnesota United FC,MLS,TRI,53,52,50,60,21,46,1,1
Ollie Battersby,52,GK,Grimsby Town,EFL League Two,ENG,49,52,52,53,28,53,2,1
Doğan Alemdar,52,GK,Kayserispor,Süper Lig,TUR,50,56,54,50,25,47,2,1
Gary Maley,52,GK,Livingston FC,Scottish Prem,SCO,48,52,53,46,18,58,1,1
Raghid Al Najjar,52,GK,Al Wehda,MBS Pro League,SAR,53,47,60,53,23,53,2,1
Murat Can Yıldız,52,GK,Kasimpaşa SK,Süper Lig,TUR,47,54,58,54,28,51,2,1
Callum Hawkins,52,GK,Burton Albion,EFL League One,ENG,56,51,55,50,27,51,3,1
Zach Hemming,52,GK,Middlesbrough,EFL Championship,ENG,50,52,54,55,28,49,2,1
Basil Al Bahrani,52,GK,Al Fateh,MBS Pro League,SAR,53,55,46,51,27,50,2,1
Ashley Maynard-Brewer,52,GK,Charlton Athletic,EFL League One,AUS,54,46,56,47,21,55,3,1
Li Guanxi,52,GK,Shandong Luneng TaiShan FC,CSL,CPR,57,49,42,59,33,40,2,1
Zhao Shi,52,GK,Qingdao Huanghai FC,CSL,CPR,59,51,48,54,28,44,3,1
Hugo Keto,52,GK,HJK Helsinki,Finnliiga,FIN,53,51,52,54,46,49,2,1
Jack Stevens,52,GK,Oxford United,EFL League One,ENG,56,50,47,54,41,45,3,1
Sander Tangvik,51,GK,Rosenborg BK,Eliteserien,NOR,56,46,58,57,61,44,2,1
Ben Voll,51,GK,FC Hansa Rostock,3. Liga,GER,52,55,52,57,24,42,2,1
Teddy Sharman-Lowe,51,GK,Chelsea,Premier League,ENG,52,51,50,53,26,50,3,1
Batuhan Ünsal,51,GK,BB Erzurumspor,Süper Lig,TUR,49,50,49,55,25,47,2,1
Martín Lagunes,51,GK,Puebla,LIGA BBVA MX,MEX,52,52,48,50,38,48,3,1
Teddy Sharman-Lowe,51,GK,Burton Albion,EFL League One,ENG,52,51,50,53,26,50,3,1
Noah Falk,51,GK,Lausanne-Sport,RSL,SUI,52,50,53,51,27,55,3,1
Patryk Królczyk,51,GK,Piast Gliwice,PKO Ekstraklasa,POL,53,50,55,53,17,48,1,1
Lucas Marsella,51,GK,AC Ajaccio,Ligue 2 BKT,FRA,55,48,57,53,24,51,2,1
Archie Matthews,51,GK,Swindon Town,EFL League One,ENG,51,55,58,57,20,42,2,1
Jeff Caldwell,51,GK,New England Revolution,MLS,USA,54,47,51,54,30,50,1,1
Jack Sims,51,GK,Blackpool,EFL League One,ENG,47,48,53,52,18,52,2,1
Andrew Mills,51,GK,Östersunds FK,Allsvenskan,ENG,51,48,45,53,43,51,2,1
Thomas Callens,50,GK,FC Lorient,Ligue 1 Uber Eats,FRA,57,51,46,51,17,45,3,1
Dominik Kalinowski,50,GK,KGHM Zagłębie Lubin,PKO Ekstraklasa,POL,57,48,46,51,22,47,1,1
Macklin Freke,50,GK,Brisbane Roar,A-League,AUS,48,52,51,55,19,49,2,1
Lukas Schellenberg,50,GK,FC Ingolstadt 04,3. Liga,GER,57,52,51,46,25,43,4,1
Joe Wright,50,GK,Millwall,EFL Championship,ENG,53,54,47,48,18,46,3,1
Huang Zihao,50,GK,Jiangsu Suning FC,CSL,CPR,55,45,45,58,23,45,1,1
Henry Kendrick,50,GK,Barnsley,EFL Championship,ENG,53,52,50,51,24,51,2,1
Jonathan Sirois,50,GK,Impact Montréal,MLS,CAN,54,53,49,47,15,49,2,1
Liam Armstrong,50,GK,Bristol Rovers,EFL League One,ENG,50,45,48,55,19,47,2,1
Eren Bilen,50,GK,Göztepe SK,Süper Lig,TUR,55,53,55,50,19,41,2,1
Thomas Callens,50,GK,Stade Malherbe Caen,Ligue 2 BKT,FRA,57,51,46,51,17,45,3,1
Jamie Cleary,50,GK,Bohemian FC,SSE Airtricity Lge,IRL,50,49,54,50,28,45,2,1
Alfie Jones,50,GK,Crawley Town,EFL League Two,ENG,56,48,45,52,22,44,2,1
Teng Shangkun,50,GK,Tianjin TEDA FC,CSL,CPR,46,56,55,53,24,45,2,1
Wang Zhifeng,49,GK,Wuhan Zall Professional FC,CSL,CPR,49,53,52,50,33,43,3,1
Jack Lemoignan,49,GK,Derry City,SSE Airtricity Lge,NIR,51,48,54,48,23,44,3,1
Li Xuebo,49,GK,Dalian Professional Football Club,CSL,CPR,47,51,48,57,27,42,3,1
Giacomo Figliuzzi,49,GK,Crotone,Serie A TIM,ITA,49,51,44,50,22,45,2,1
Laurie Walker,48,GK,Oldham Athletic,EFL League Two,ENG,51,47,43,48,33,46,2,1
Ma Zhen,48,GK,Shanghai Greenland Shenhua FC,CSL,CPR,49,47,45,46,54,44,2,1
Laurie Walker,48,GK,Milton Keynes Dons,EFL League One,ENG,51,47,43,48,33,46,2,1
Patrick McGarvey,48,GK,Finn Harps,SSE Airtricity Lge,IRL,47,46,46,50,22,45,1,1
